3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
good boy.,hi hi.,here's your banana.,wow.,see my family.,you know what he's got.,yeah.,I have a picture of a house.,see the car.,what's this.,where is the doll.,he's gonna be a bird.,you know what.,oh oh oh oh oh oh oh oh oh.,hey baby bird.,I love your cat.,there's a baby bear.,oh look at the little birdie.,the house that Jack built.,what are you making.,can you see the red and the blue and the yellow and the green and the orange.,let's go and find out.,and they're all sitting down and they're all sitting down on the chair.,and the dog would bark.,it's a pretty bird.,he's a bird.,no.,what's that.
look at the dog.,that's a puppy.,yeah you're right that's a lot of food.,there's a bird.,and now.,there's a bird flying by.,I see a baby.,hey let's turn on the lights and then we can go play.,oh.,they eat in a very very nice room.,you can play with those.,a bird.,a giraffe.,we'll make the house.,see that big yellow bird.,do you have a cat.,nope.,that's a great idea.,they're the same.,okay.,okay.,well you know what it is.,wow what are those.,see.,uhhuh.,he's just a little one.,oh they're so cute.,they're on the stairs.
come here.,that's a bird.,that's right.,go flap your wings.,right.,oh bird.,and now we're going to put the rice in the pan.,they're in the closet.,and there's a truck.,oh.,you see it.,little bird.,wow.,oh the house was built on the hill.,oh look at that blue bird.,it's a kitty kitty.,that's a crab.,that's right.,okay.,what's that.,the doorbell rang.,I'll put the dog in the car.,right.,what kind of dog are you.,that's right.,I think they have their own special way to live.,the dog's gonna sit down right there on his bed.,oh.
doggy.,and the giraffe.,this is a yummy cookie.,look at the bird.,let's see you find a ball.,oh.,oh look.,you see the toy house.,go on in.,I have some water.,well this is a very interesting one.,there's a bird outside.,no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no,and then we'll go to the store.,there's a bird sitting in that tree.,yeah.,do you like elephants.,the bird can fly.,oh yeah you know where.,yeah.,how many rooms in the house.,where's the dog.,he was the one that got in trouble.,oh let's see.,and you'll get some of that.,no it's not a goose.,well you've got your dog on a leash.,and a table.
there's a dog there.,doggies and cats.,I don't know.,bird.,no.,look at that bird.,here's your juice.,you can put your shirt on.,you can take a nap when you're in the car.,and then he just like said.,and you can.,yeah.,I think the rabbit has a big nose.,you know we have a house.,that's a duck.,oh what's that.,I mean like the bunny.,and it's a bird.,I'm going to put my shoes back on.,they're not.,okay.,and you want a little bit of chicken.,they're really nice.,he's a good dog.,what's that.,the pig's got a mouth and a nose and a mouth and a nose.,oh you're right she is a good dog.,and then we'll go home.
oh you're a cute little puppy.,where is the puppy.,do you wanna eat.,look at that bird.,we're gonna get you a ticket.,it's a crane.,peas.,well.,we're gonna have to go to the car rental place and get a car that has four wheels.,I don't know.,look at that.,he's on the back of the turtle.,oh.,oh I see.,there's a duck in there.,the cat's in the bed.,you know that's a giraffe.,we have some ducks on the farm.,okay.,uhhuh.,can you say house.,see the dog.,what's that.,you're right.,that's a sparrow.,I'm gonna get the camera.,they're really big.,and then you'd take the dishes out of the dishwasher.
bark.,okay.,yeah.,little birdie.,okay.,there are a lot of birds in the tree.,"no, not yet.",yeah it's in the garage.,oh we're going to get in the car.,oh that's right.,oh that's the blue truck.,a duck.,and that's a hawk.,and there's a door.,what is this.,and she's gonna put her tail on top.,the little kangaroo has three kids.,he's a bird.,well I'm going to get out of the chair and go to the bathroom.,there you go.,so where's the chair?,that's a dog.,yeah.,that's a dog.,look at that little bird.,and then he's got a wagon.,we gotta get him a little something special for Christmas.,we're going to the house.
there's a bird.,look at the rabbit.,oh look at the big brown cow.,bird.,they're very big.,oh.,come on baby.,right.,that's a cat.,it's a peanut.,that's right.,you want to go with the dog.,okay.,well then you can sit on her lap.,how come they don't have a lot of food here.,look at this.,and then we eat.,and the pumpkin seeds.,well we have a nice little dog.,that's a cat.,oh look at that.,the ice cream cone.,where's mommy and daddy right now.,you wanna hear a funny story.,yeah they're really good.,and then they'll be happy.,yes he was just a little bit older.,it's a puppy.
bird.,a turtle.,little rabbit.,baby bird.,you're so clever.,oh.,there's a cat.,he's not ready.,oh look at the kitty.,yeah.,can you put your arms around me.,and the dog chases the cat.,do you wanna see a cat.,do you remember what it's called.,yeah.,look at this.,no.,that's right.,you could make him a little bit of food.,the cats can't go inside the house.,this is a house.,and they put that on the turkey.,the kids are all playing in the yard.,oh my goodness.,no.,can you put it on the table.,I think I have to go to the bathroom.,well.
there's a bird.,oh here's a horse.,oh.,that's a bird.,okay.,they're just a little toy.,what's that.,who's that.,yeah I got that.,he's gonna be a big baboon.,yeah.,and it will help your dog to play and to learn and to grow and to get better and better and better and better.,and it's the cat.,it's a big family.,yeah.,it's a little birdie.,I think we should have a family reunion in December.,what's that.,we'll just put it on the floor.,that's right.,yeah we have one.,it's very yummy.,I mean I think we're a very good family and we love each other and we're happy.,it's a family picture.,where's the pizza.,yeah.,that's right.,can you tell me how to do that.
a bird.,the panda.,kitty.,what's that.,oh.,you want to open the box.,we'll see a cat.,oh.,cats.,we're going to get some peaches and some grapes and some juice.,no we're not going to the store.,where's the bunny.,you're my friend.,we're having a party at your house.,you know the little kid from the movie.,there's a baby bear in there.,so do you think that's your daddy's shoes?,I don't think it's gonna work.,that's a dog.,we can go to the store and get some cat food.,you can't take the whole house.,you gotta have to have meat.,yes that's right.,mommy is really good at this.,you got the carrot.,okay.,well we're going to go to Grandma's.,yeah.
wanna hear a bird.,do you want to play with the dog.,you know you got a little bunny.,go look at the bird.,Mommy's sister.,this is a toy.,the cat.,oh it's time for bed.,that's not a kitty.,are you a good boy.,and you know that's how you're gonna make them.,well what's that.,I'm not sure.,well.,oh you're having a hot dog.,oh you're right.,no he didn't.,and the french fries.,there's a dog in the yard.,that's a cat.,that's what I thought.,and that's what the toast is called.,right.,no.,this is peanut butter.,you can't eat that.,and you're gonna sit here.,can you say dog.
bird.,yeah it's a fish.,what's that.,look at the bird.,you wanna have some more cookies.,yeah it's yellow.,it's a cat.,let's do that.,and a cat.,that's a nice taco.,what is that.,see that's the tail of the dog.,it's a cat.,you mean that Dad's got a little girl.,that's not the right way.,yeah.,well the other kids are going to see if they can find the gnomes.,no.,he's very hungry.,and a cat.,it's not there.,he's wearing a hat.,can I get up.,I'm going to show you the back of your t-shirt.,that's right.,you're gonna get a bowl and a spoon.,you know what.,you need to look at it.
there's a bird.,a lion.,wow.,do you want the birdie.,yeah.,that's a caterpillar.,cat.,the baby is sleeping.,what's that.,we're gonna get you a spoon.,you're the baby.,see.,oh.,Mommy was talking about the family.,no we're not.,where's your lion.,they're two sisters.,yeah that's right.,okay.,there's one.,oh no.,no it's not.,did I tell you that I'm making cookies with Daddy today.,hey what did you do.,what's that.,we're going to go to the pumpkin patch this weekend and we're going to get a pumpkin and we're going to make a pumpkin pie and we're going to eat it for dessert.,you're not gonna have a brother or a sister.,wanna have a little kiss.
hmm hmm.,oh look at the chickens.,that's a wolf.,that's a bird.,hm.,yes.,the cat goes.,"oh, oh.",cats.,you can do the thing with the juice.,it's all gone.,you said it.,it's so sweet to see the kitty's happy.,you know.,what did she do.,oh yeah.,and we're in a movie.,that's right.,you can sit on the dog's back.,oh here's a cat.,well we're going to get your crib ready to go in.,what.,it's okay.,oh my gosh.,okay.,you can have it with the yogurt.,and then he's going to work with his brother.,what do you think dogs do.
look at the bird.,what's that.,"and they're just like me, they have to have a home.",what's this.,look at that cute bunny.,who's in here.,wanna draw a cat with crayons.,oh you're doing a good job.,you think it's a cat.,they're in the cereal box.,they're not going to come to the party.,do you see the dog in the bed.,and we can take the cat to the park.,so you're just gonna be a dad.,we don't have to worry about that.,a hare.,I don't know what you mean.,I'll help you.,yeah you know they're not supposed to bite people.,that's a cute cat.,okay.,you gotta take the ice cream off the waffles.,that's the baby.,that's right that's right.,okay.,okay so let's get it.,oh my gosh.,okay.
what a cute little bird.,can you see the rabbit.,that's right.,yeah.,hey.,I think you're gonna put that there.,see that's a kitty.,no.,that's right that's a cat.,that's good.,and daddy and grandma.,you should not have the cat in your bed.,here's the cat.,oh that's really good.,well you can't put your food in your mouth until after you've had a drink.,you know.,that's what Daddy's job is.,yeah.,they're very big dogs.,the cat has fleas.,there's a table right there.,you can't have that.,she's not very good at sitting on the floor.,okay let's go home.,oh and it's gonna get really good soon.,yes.,I'm not sure.,do you see the dog.
